USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
_mdnsresponder   25630   0.0  0.0 33631972    760   ??  S     6:37PM   0:00.54 /usr/sbin/distnoted agent
_mysql           25629   0.0  0.0 33631972    760   ??  S     6:37PM   0:00.54 /usr/sbin/distnoted agent
_timed           25628   0.0  0.0 33631972    760   ??  S     6:37PM   0:00.55 /usr/sbin/distnoted agent
_trustd          25627   0.0  0.0 33631972    760   ??  S     6:37PM   0:00.54 /usr/sbin/distnoted agent
_usbmuxd         25626   0.0  0.0 33631972    760   ??  S     6:37PM   0:00.54 /usr/sbin/distnoted agent
_distnote        25625   0.0  0.0 33631972    760   ??  S     6:37PM   0:00.54 /usr/sbin/distnoted agent
_displaypolicyd  25624   0.0  0.0 33631972    756   ??  S     6:37PM   0:00.55 /usr/sbin/distnoted agent
vlad             25620   0.0  0.0 33691164   3064   ??  S     6:37PM   0:00.14 /System/Library/CoreServices/ScopedBookmarkAgent
vlad             25616   0.0  0.2 33820372  14088   ??  Ss    6:37PM   0:01.17 /System/Library/CoreServices/Dock.app/Contents/XPCServices/DockHelper.xpc/Contents/MacOS/DockHelper
root             25615   0.0  0.1 33697564   5352   ??  Ss    6:37PM   0:10.20 /usr/sbin/spindump
vlad             25594   0.0  0.4 34186264  31756   ??  S     6:36PM   0:00.71 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem system_app_start
_iconservices    25593   0.0  0.0 33690384   3332   ??  Ss    6:36PM   0:00.06 /System/Library/CoreServices/iconservicesd
vlad             25592   0.0  0.1 33714840  10632   ??  S     6:36PM   0:00.81 /System/Library/CoreServices/iconservicesagent
vlad             25589   0.0  0.1 33699812   8776   ??  Ss    6:36PM   0:00.30 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
vlad             25588   0.0  0.1 33886060  10036   ??  S     6:36PM   0:00.36 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
vlad             25587   0.0  0.1 33691308  11504   ??  S     6:36PM   0:00.33 /usr/libexec/fmfd
vlad             25585   0.0  0.1 33690636   7052   ??  S     6:36PM   0:01.49 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
vlad             25584   0.0  0.1 33699416   8648   ??  S     6:36PM   0:00.33 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
